,min,max,avg
canny,0.019189834594726562,0.15529417991638184,0.05632541577021281
roberts,0.010965108871459961,0.054868221282958984,0.027243584394454956
prewitt,0.018280029296875,0.07331228256225586,0.04547843337059021
sobel,0.01840353012084961,0.06883883476257324,0.0438808798789978
opencv,0.010593175888061523,0.040044307708740234,0.023804813623428345
skel_opencv,0.011235713958740234,0.04218792915344238,0.02511577804883321
skel_dnn,0.6959586143493652,2.8520748615264893,1.3545145392417908
total time: 44.31663990020752
