,min,max,avg
canny,0.16040897369384766,0.39005422592163086,0.20936510392597743
roberts,0.07404041290283203,0.13028836250305176,0.08480786425726754
prewitt,0.12067914009094238,0.18328380584716797,0.13622769287654332
sobel,0.12158536911010742,0.19383931159973145,0.1341157214982169
opencv,0.06756353378295898,0.09393954277038574,0.07397185053144183
skel_opencv,0.06885600090026855,0.0961446762084961,0.07596641778945923
skel_dnn,1.100855827331543,2.1254611015319824,1.4963041203362601
total_time,70.00785279273987
