,min,max,avg
canny,0.45168304443359375,1.297391414642334,0.6953333616256714
roberts,0.15891432762145996,0.42685890197753906,0.24531943798065187
prewitt,0.2763199806213379,0.6565215587615967,0.4075061082839966
sobel,0.27649784088134766,0.6829862594604492,0.444012975692749
opencv,0.1540665626525879,0.46576905250549316,0.263822340965271
skel_opencv,0.15561556816101074,0.4722113609313965,0.2706854820251465
skel_dnn,1.3325536251068115,4.8337013721466064,2.6816251039505006
total time: 52.492133140563965
