,min,max,avg
canny,55.87590312957764,93.68052840232849,68.26712588830428
roberts,22.842220067977905,40.32696723937988,26.808742024681784
prewitt,39.47727823257446,53.04088568687439,43.671265385367654
sobel,39.645806550979614,66.76937341690063,45.95401328260248
opencv,20.339043855667114,32.582383155822754,24.00117366964167
skel_opencv,22.087762355804443,37.74861288070679,29.106162309646606
skel_dnn,3.1892216205596924,4.869795560836792,3.7433529767123135
